ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text
48	TRUMP	0	0	0	0	0	0	0	0	0	0	But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma.
49	TRUMP	0	0	0	0	0	0	0	0	0	0	I feel that the justices that I am going to appoint -- and I've named 20 of them -- the justices that I'm going to appoint will be pro-life.
50	TRUMP	0	0	0	0	0	0	0	0	0	0	They will have a conservative bent.
51	TRUMP	0	0	0	0	0	0	0	0	0	0	They will be protecting the Second Amendment.
52	TRUMP	0	0	0	0	0	0	0	0	0	0	They are great scholars in all cases, and they're people of tremendous respect.
53	TRUMP	0	0	0	0	0	0	0	0	0	0	They will interpret the Constitution the way the founders wanted it interpreted.
54	TRUMP	0	0	0	0	0	0	0	0	0	0	And I believe that's very, very important.
55	TRUMP	0	0	0	0	0	0	0	0	0	0	I don't think we should have justices appointed that decide what they want to hear.
56	TRUMP	0	0	0	0	0	0	0	0	0	0	It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be.
57	TRUMP	0	0	0	0	0	0	0	0	0	0	And those are the people that I will appoint.
58	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, thank you.
59	WALLACE	0	0	0	0	0	0	0	0	0	0	We now have about 10 minutes for an open discussion.
60	WALLACE	0	0	0	0	0	0	0	0	0	0	I want to focus on two issues that, in fact, by the justices that you name could end up changing the existing law of the land.
61	WALLACE	0	0	0	0	0	0	0	0	0	0	First is one that you mentioned, Mr. Trump, and that is guns.
62	WALLACE	0	0	0	0	0	0	0	0	0	0	"Secretary Clinton, you said last year, let me quote, ""The Supreme Court is wrong on the Second Amendment."""
63	WALLACE	0	0	0	0	0	0	0	0	0	0	And now, in fact, in the 2008 Heller case, the court ruled that there is a constitutional right to bear arms, but a right that is reasonably limited.
64	WALLACE	0	0	0	0	0	0	0	0	0	0	Those were the words of the Judge Antonin Scalia who wrote the decision.
65	WALLACE	0	0	0	0	0	0	0	0	0	0	What's wrong with that?
66	CLINTON	0	0	0	0	0	0	0	0	0	0	Well, first of all, I support the Second Amendment.
67	CLINTON	0	0	0	0	0	0	0	0	0	0	I lived in Arkansas for 18 wonderful years.
68	CLINTON	0	0	0	0	0	0	0	0	0	0	I represented upstate New York.
69	CLINTON	0	0	0	0	0	0	0	0	0	0	I understand and respect the tradition of gun ownership.
70	CLINTON	0	0	0	0	0	0	0	0	0	0	It goes back to the founding of our country.
71	CLINTON	0	0	0	0	0	0	0	0	0	0	But I also believe that there can be and must be reasonable regulation.
72	CLINTON	0	0	0	0	0	0	0	0	0	0	Because I support the Second Amendment doesn't mean that I want people who shouldn't have guns to be able to threaten you, kill you or members of your family.
73	CLINTON	4	0	0	1	0	0	1	1	1	0	And so when I think about what we need to do, we have 33,000 people a year who die from guns.
74	CLINTON	0	0	0	0	0	0	0	0	0	0	I think we need comprehensive background checks, need to close the online loophole, close the gun show loophole.
75	CLINTON	0	0	0	0	0	0	0	0	0	0	There's other matters that I think are sensible that are the kind of reforms that would make a difference that are not in any way conflicting with the Second Amendment.
76	CLINTON	0	0	0	0	0	0	0	0	0	0	You mentioned the Heller decision.
77	CLINTON	3	0	0	1	0	0	1	0	0	1	And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them.
78	CLINTON	0	0	0	0	0	0	0	0	0	0	And the court didn't accept that reasonable regulation, but they've accepted many others.
79	CLINTON	0	0	0	0	0	0	0	0	0	0	So I see no conflict between saving people's lives and defending the Second Amendment.
80	WALLACE	0	0	0	0	0	0	0	0	0	0	Let me bring Mr. Trump in here.
81	WALLACE	0	0	0	0	0	0	0	0	0	0	The bipartisan Open Debate Coalition got millions of votes on questions to ask here, and this was, in fact, one of the top questions that they got.
82	WALLACE	0	0	0	0	0	0	0	0	0	0	How will you ensure the Second Amendment is protected?
83	WALLACE	0	0	0	0	0	0	0	0	0	0	You just heard Secretary Clinton's answer.
84	WALLACE	0	0	0	0	0	0	0	0	0	0	Does she persuade you that, while you may disagree on regulation, that, in fact, she supports a Second Amendment right to bear arms?
85	TRUMP	1	0	0	1	0	0	0	0	0	0	Well, the D.C. vs. Heller decision was very strongly -- and she was extremely angry about it.
86	TRUMP	0	0	0	0	0	0	0	0	0	0	I watched.
87	TRUMP	1	0	0	1	0	0	0	0	0	0	I mean, she was very, very angry when upheld.
88	TRUMP	0	0	0	0	0	0	0	0	0	0	And Justice Scalia was so involved.
89	TRUMP	1	0	0	1	0	0	0	0	0	0	And it was a well-crafted decision.
90	TRUMP	1	0	0	1	0	0	0	0	0	0	But Hillary was extremely upset, extremely angry.
91	TRUMP	0	0	0	0	0	0	0	0	0	0	And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say.
92	WALLACE	0	0	0	0	0	0	0	0	0	0	Well, let me bring in Secretary Clinton.
93	WALLACE	0	0	0	0	0	0	0	0	0	0	Were you extremely upset?
94	CLINTON	1	0	0	0	0	1	0	0	0	0	Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions.
95	CLINTON	0	0	0	0	0	0	0	0	0	0	But there's no doubt that I respect the Second Amendment, that I also believe there's an individual right to bear arms.
96	CLINTON	0	0	0	0	0	0	0	0	0	0	That is not in conflict with sensible, commonsense regulation.
97	CLINTON	0	0	0	0	0	0	0	0	0	0	And, you know, look, I understand that Donald's been strongly supported by the NRA.
98	CLINTON	0	0	0	0	0	0	0	0	0	0	The gun lobby's on his side.
99	CLINTON	0	0	0	0	0	0	0	0	0	0	They're running millions of dollars of ads against me.
100	CLINTON	0	0	0	0	0	0	0	0	0	0	And I regret that, because what I would like to see is for people to come together and say: Of course we're going to protect and defend the Second Amendment.
101	CLINTON	0	0	0	0	0	0	0	0	0	0	But we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year.
102	WALLACE	0	0	0	0	0	0	0	0	0	0	Let me bring Mr. Trump back into this, because, in fact, you oppose any limits on assault weapons, any limits on high- capacity magazines.
103	WALLACE	0	0	0	0	0	0	0	0	0	0	You support a national right to carry law.
104	WALLACE	0	0	0	0	0	0	0	0	0	0	Why, sir?
105	TRUMP	0	0	0	0	0	0	0	0	0	0	Well, let me just tell you before we go any further.
106	TRUMP	4	0	0	1	0	1	0	1	0	1	In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.
107	TRUMP	3	0	0	1	0	1	0	0	0	1	So we have the toughest laws, and you have tremendous gun violence.
108	TRUMP	0	0	0	0	0	0	0	0	0	0	I am a very strong supporter of the Second Amendment.
109	TRUMP	0	0	0	0	0	0	0	0	0	0	And I am -- I don't know if Hillary was saying it in a sarcastic manner, but I'm very proud to have the endorsement of the NRA.
110	TRUMP	0	0	0	0	0	0	0	0	0	0	And it's the earliest endorsement they've ever given to anybody who ran for president.
111	TRUMP	0	0	0	0	0	0	0	0	0	0	So I'm very honored by all of that.
112	TRUMP	0	0	0	0	0	0	0	0	0	0	We are going to appoint justices -- this is the best way to help the Second Amendment.
113	TRUMP	0	0	0	0	0	0	0	0	0	0	We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment.
114	WALLACE	0	0	0	0	0	0	0	0	0	0	Well, let's pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there, and that's the issue of abortion.
115	TRUMP	0	0	0	0	0	0	0	0	0	0	Right.
116	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, you're pro-life.
117	WALLACE	0	0	0	0	0	0	0	0	0	0	But I want to ask you specifically: Do you want the court, including the justices that you will name, to overturn Roe v. Wade, which includes -- in fact, states -- a woman's right to abortion?
118	TRUMP	0	0	0	0	0	0	0	0	0	0	Well, if that would happen, because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states.
119	WALLACE	0	0	0	0	0	0	0	0	0	0	But I'm asking you specifically.
120	WALLACE	0	0	0	0	0	0	0	0	0	0	Would you like to...
121	TRUMP	0	0	0	0	0	0	0	0	0	0	If they overturned it, it will go back to the states.
122	WALLACE	0	0	0	0	0	0	0	0	0	0	But what I'm asking you, sir, is, do you want to see the court overturn -- you just said you want to see the court protect the Second Amendment.
123	WALLACE	0	0	0	0	0	0	0	0	0	0	Do you want to see the court overturn Roe v. Wade?
124	TRUMP	1	0	0	1	0	0	0	0	0	0	Well, if we put another two or perhaps three justice on, that's really what's going to be -- that will happen.
125	TRUMP	1	0	0	1	0	0	0	0	0	0	And that'll happen automatically, in my opinion, because I am putting pro-life justices on the court.
126	TRUMP	0	0	0	0	0	0	0	0	0	0	I will say this: It will go back to the states, and the states will then make a determination.
127	WALLACE	0	0	0	0	0	0	0	0	0	0	Secretary Clinton?
128	CLINTON	0	0	0	0	0	0	0	0	0	0	Well, I strongly support Roe v. Wade, which guarantees a constitutional right to a woman to make the most intimate, most difficult, in many cases, decisions about her health care that one can imagine.
129	CLINTON	0	0	0	0	0	0	0	0	0	0	And in this case, it's not only about Roe v. Wade.
130	CLINTON	0	0	0	0	0	0	0	0	0	0	It is about what's happening right now in America.
131	CLINTON	1	0	0	0	0	1	0	0	0	0	So many states are putting very stringent regulations on women that block them from exercising that choice to the extent that they are defunding Planned Parenthood, which, of course, provides all kinds of cancer screenings and other benefits for women in our country.
132	CLINTON	0	0	0	0	0	0	0	0	0	0	Donald has said he's in favor of defunding Planned Parenthood.
133	CLINTON	0	0	0	0	0	0	0	0	0	0	He even supported shutting the government down to defund Planned Parenthood.
134	CLINTON	0	0	0	0	0	0	0	0	0	0	I will defend Planned Parenthood.
135	CLINTON	0	0	0	0	0	0	0	0	0	0	I will defend Roe v. Wade, and I will defend women's rights to make their own health care decisions.
136	WALLACE	0	0	0	0	0	0	0	0	0	0	Secretary Clinton…
137	CLINTON 	0	0	0	0	0	0	0	0	0	0	And we have come too far to have that turned back now.
138	WALLACE	3	0	0	0	1	0	1	0	0	1	And, indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions.
139	WALLACE	0	0	0	0	0	0	0	0	0	0	And I could just not be more opposed to that kind of thinking.
140	WALLACE	0	0	0	0	0	0	0	0	0	0	I'm going to give you a chance to respond, but I want to ask you, Secretary Clinton, I want to explore how far you believe the right to abortion goes.
141	WALLACE	2	0	0	0	1	0	1	0	0	0	You have been quoted as saying that the fetus has no constitutional rights.
142	WALLACE	0	0	0	0	0	0	0	0	0	0	You also voted against a ban on late-term, partial-birth abortions.
143	WALLACE	0	0	0	0	0	0	0	0	0	0	Why?
144	CLINTON	0	0	0	0	0	0	0	0	0	0	Because Roe v. Wade very clearly sets out that there can be regulations on abortion so long as the life and the health of the mother are taken into account.
145	CLINTON	0	0	0	0	0	0	0	0	0	0	And when I voted as a senator, I did not think that that was the case.
146	CLINTON	0	0	0	0	0	0	0	0	0	0	The kinds of cases that fall at the end of pregnancy are often the most heartbreaking, painful decisions for families to make.
147	CLINTON	0	0	0	0	0	0	0	0	0	0	I have met with women who toward the end of their pregnancy get the worst news one could get, that their health is in jeopardy if they continue to carry to term or that something terrible has happened or just been discovered about the pregnancy.
148	CLINTON	0	0	0	0	0	0	0	0	0	0	I do not think the United States government should be stepping in and making those most personal of decisions.
149	CLINTON	0	0	0	0	0	0	0	0	0	0	So you can regulate if you are doing so with the life and the health of the mother taken into account.
150	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, your reaction?
151	WALLACE	0	0	0	0	0	0	0	0	0	0	And particularly on this issue of late-term, partial-birth abortions.
152	TRUMP	0	0	0	0	0	0	0	0	0	0	Well, I think it's terrible.
153	TRUMP	4	0	0	1	0	0	0	1	1	1	If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby.
154	TRUMP	0	0	0	0	0	0	0	0	0	0	Now, you can say that that's OK and Hillary can say that that's OK.
155	TRUMP	5	0	0	1	0	1	0	1	1	1	But it's not OK with me, because based on what she's saying, and based on where she's going, and where she's been, you can take the baby and rip the baby out of the womb in the ninth month on the final day.
156	TRUMP	0	0	0	0	0	0	0	0	0	0	And that's not acceptable.
157	CLINTON	0	0	0	0	0	0	0	0	0	0	Well, that is not what happens in these cases.
158	CLINTON	0	0	0	0	0	0	0	0	0	0	And using that kind of scare rhetoric is just terribly unfortunate.
159	CLINTON	0	0	0	0	0	0	0	0	0	0	You should meet with some of the women that I have met with, women I have known over the course of my life.
160	CLINTON	0	0	0	0	0	0	0	0	0	0	This is one of the worst possible choices that any woman and her family has to make.
161	CLINTON	0	0	0	0	0	0	0	0	0	0	And I do not believe the government should be making it.
162	CLINTON	0	0	0	0	0	0	0	0	0	0	You know, I've had the great honor of traveling across the world on behalf of our country.
163	CLINTON	0	0	0	0	0	0	0	0	0	0	I've been to countries where governments either forced women to have abortions, like they used to do in China, or forced women to bear children, like they used to do in Romania.
164	CLINTON	0	0	0	0	0	0	0	0	0	0	And I can tell you: The government has no business in the decisions that women make with their families in accordance with their faith, with medical advice.
165	CLINTON	0	0	0	0	0	0	0	0	0	0	And I will stand up for that right.
166	WALLACE	0	0	0	0	0	0	0	0	0	0	All right.
167	WALLACE	0	0	0	0	0	0	0	0	0	0	But just briefly, I want to move on to another segment...
168	TRUMP	0	0	0	0	0	0	0	0	0	0	And, honestly, nobody has business doing what I just said, doing that, as late as one or two or three or four days prior to birth.
169	TRUMP	0	0	0	0	0	0	0	0	0	0	Nobody has that.
170	WALLACE	0	0	0	0	0	0	0	0	0	0	All right.
171	WALLACE	0	0	0	0	0	0	0	0	0	0	Let's move on to the subject of immigration.
172	WALLACE	0	0	0	0	0	0	0	0	0	0	And there is almost no issue that separates the two of you more than the issue of immigration.
173	WALLACE	0	0	0	0	0	0	0	0	0	0	Actually, there are a lot of issues that separate the two of you.
174	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, you want to build a wall.
175	WALLACE	1	0	0	0	0	1	0	0	0	0	Secretary Clinton, you have offered no specific plan for how you want to secure our southern border.
176	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, you are calling for major deportations.
177	WALLACE	0	0	0	0	0	0	0	0	0	0	Secretary Clinton, you say that within your first 100 days as president you're going to offer a package that includes a pathway to citizenship.
178	WALLACE	0	0	0	0	0	0	0	0	0	0	The question, really, is, why are you right and your opponent wrong?
179	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, you go first in this segment.
180	WALLACE	0	0	0	0	0	0	0	0	0	0	You have two minutes.
181	TRUMP	3	0	0	0	0	1	1	0	1	0	Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years.
182	TRUMP	0	0	0	0	0	0	0	0	0	0	We need strong borders.
183	TRUMP	0	0	0	0	0	0	0	0	0	0	In the audience tonight, we have four mothers of -- I mean, these are unbelievable people that I've gotten to know over a period of years whose children have been killed, brutally killed by people that came into the country illegally.
184	TRUMP	0	0	0	0	0	0	0	0	0	0	You have thousands of mothers and fathers and relatives all over the country.
185	TRUMP	0	0	0	0	0	0	0	0	0	0	They're coming in illegally.
186	TRUMP	0	0	0	0	0	0	0	0	0	0	Drugs are pouring in through the border.
187	TRUMP	0	0	0	0	0	0	0	0	0	0	We have no country if we have no border.
188	TRUMP	1	0	0	0	0	0	0	0	1	0	Hillary wants to give amnesty.
189	TRUMP	5	0	1	0	0	0	1	1	1	1	She wants to have open borders.
190	TRUMP	4	0	1	0	0	1	1	1	0	0	The border -- as you know, the Border Patrol agents, 16,500-plus ICE last week, endorsed me.
191	TRUMP	2	0	1	0	0	0	0	1	0	0	First time they've ever endorsed a candidate.
192	TRUMP	0	0	0	0	0	0	0	0	0	0	It means their job is tougher.
193	TRUMP	0	0	0	0	0	0	0	0	0	0	But they know what's going on.
194	TRUMP	0	0	0	0	0	0	0	0	0	0	They know it better than anybody.
195	TRUMP	0	0	0	0	0	0	0	0	0	0	They want strong borders.
196	TRUMP	0	0	0	0	0	0	0	0	0	0	They feel we have to have strong borders.
197	TRUMP	0	0	0	0	0	0	0	0	0	0	I was up in New Hampshire the other day.
198	TRUMP	0	0	0	0	0	0	0	0	0	0	The biggest complaint they have -- it's with all of the problems going on in the world, many of the problems caused by Hillary Clinton and by Barack Obama.
199	TRUMP	3	0	0	0	0	1	1	1	0	0	All of the problems -- the single biggest problem is heroin that pours across our southern border.
200	TRUMP	1	0	0	0	0	0	0	1	0	0	It's just pouring and destroying their youth.
201	TRUMP	0	0	0	0	0	0	0	0	0	0	It's poisoning the blood of their youth and plenty of other people.
202	TRUMP	0	0	0	0	0	0	0	0	0	0	We have to have strong borders.
203	TRUMP	0	0	0	0	0	0	0	0	0	0	We have to keep the drugs out of our country.
204	TRUMP	0	0	0	0	0	0	0	0	0	0	We are -- right now, we're getting the drugs, they're getting the cash.
205	TRUMP	0	0	0	0	0	0	0	0	0	0	We need strong borders.
206	TRUMP	0	0	0	0	0	0	0	0	0	0	We need absolute -- we cannot give amnesty.
207	TRUMP	0	0	0	0	0	0	0	0	0	0	Now, I want to build the wall.
208	TRUMP	1	0	0	0	0	1	0	0	0	0	We need the wall.
209	TRUMP	1	0	0	0	0	1	0	0	0	0	And the Border Patrol, ICE, they all want the wall.
210	TRUMP	0	0	0	0	0	0	0	0	0	0	We stop the drugs.
211	TRUMP	0	0	0	0	0	0	0	0	0	0	We shore up the border.
212	TRUMP	0	0	0	0	0	0	0	0	0	0	One of my first acts will be to get all of the drug lords, all of the bad ones -- we have some bad, bad people in this country that have to go out.
213	TRUMP	0	0	0	0	0	0	0	0	0	0	We're going to get them out; we're going to secure the border.
214	TRUMP	0	0	0	0	0	0	0	0	0	0	And once the border is secured, at a later date, we'll make a determination as to the rest.
215	TRUMP	1	0	0	0	0	1	0	0	0	0	But we have some bad hombres here, and we're going to get them out.
216	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, thank you.
217	WALLACE	0	0	0	0	0	0	0	0	0	0	Same question to you, Secretary Clinton.
218	WALLACE	0	0	0	0	0	0	0	0	0	0	Basically, why are you right and Mr. Trump is wrong?
219	CLINTON	0	0	0	0	0	0	0	0	0	0	Well, as he was talking, I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported, because she was born in this country but they were not.
220	CLINTON	0	0	0	0	0	0	0	0	0	0	They work hard, they do everything they can to give her a good life.
221	CLINTON	0	0	0	0	0	0	0	0	0	0	And you're right.
222	CLINTON	0	0	0	0	0	0	0	0	0	0	I don't want to rip families apart.
223	CLINTON	0	0	0	0	0	0	0	0	0	0	I don't want to be sending parents away from children.
224	CLINTON	0	0	0	0	0	0	0	0	0	0	I don't want to see the deportation force that Donald has talked about in action in our country.
225	CLINTON	0	0	0	0	0	0	0	0	0	0	We have 11 million undocumented people.
226	CLINTON	0	0	0	0	0	0	0	0	0	0	They have 4 million American citizen children, 15 million people.
227	CLINTON	2	0	0	0	0	1	1	0	0	0	He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.
228	CLINTON	0	0	0	0	0	0	0	0	0	0	Now, here's what that means.
229	CLINTON	1	0	0	0	0	1	0	0	0	0	It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented.
230	CLINTON	1	0	0	0	0	1	0	0	0	0	And we would then have to put them on trains, on buses to get them out of our country.
231	CLINTON	0	0	0	0	0	0	0	0	0	0	I think that is an idea that is not in keeping with who we are as a nation.
232	CLINTON	0	0	0	0	0	0	0	0	0	0	I think it's an idea that would rip our country apart.
233	CLINTON	0	0	0	0	0	0	0	0	0	0	I have been for border security for years.
234	CLINTON	0	0	0	0	0	0	0	0	0	0	I voted for border security in the United States Senate.
235	CLINTON	0	0	0	0	0	0	0	0	0	0	And my comprehensive immigration reform plan of course includes border security.
236	CLINTON	0	0	0	0	0	0	0	0	0	0	But I want to put our resources where I think they're most needed: Getting rid of any violent person.
237	CLINTON	0	0	0	0	0	0	0	0	0	0	Anybody who should be deported, we should deport them.
238	CLINTON	1	0	0	0	0	0	0	0	1	0	When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president.
239	CLINTON	1	0	0	0	0	0	0	0	1	0	Didn't even raise it.
240	CLINTON	1	0	0	0	0	0	0	0	1	0	He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall.
241	CLINTON	0	0	0	0	0	0	0	0	0	0	So I think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly.
242	CLINTON	0	0	0	0	0	0	0	0	0	0	And that's why I'm introducing comprehensive immigration reform within the first 100 days with the path to citizenship.
243	WALLACE	0	0	0	0	0	0	0	0	0	0	Thank you, Secretary Clinton.
244	WALLACE	0	0	0	0	0	0	0	0	0	0	I want to follow up...
245	TRUMP	0	0	0	0	0	0	0	0	0	0	Chris, I think it's...
246	WALLACE	0	0	0	0	0	0	0	0	0	0	OK.
247	TRUMP	0	0	0	0	0	0	0	0	0	0	I think I should respond to that.
248	TRUMP	0	0	0	0	0	0	0	0	0	0	First of all, I had a very good meeting with the president of Mexico.
249	TRUMP	0	0	0	0	0	0	0	0	0	0	Very nice man.
250	TRUMP	0	0	0	0	0	0	0	0	0	0	We will be doing very much better with Mexico on trade deals.
251	TRUMP	0	0	0	0	0	0	0	0	0	0	Believe me.
252	TRUMP	3	0	0	0	0	1	1	0	0	1	The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody.
253	TRUMP	1	0	0	0	0	1	0	0	0	0	It's a disaster.
254	TRUMP	4	1	1	0	0	0	1	0	1	0	Hillary Clinton wanted the wall.
255	TRUMP	3	1	1	1	0	0	0	0	0	0	Hillary Clinton fought for the wall in 2006 or thereabouts.
256	TRUMP	2	1	1	0	0	0	0	0	0	0	Now, she never gets anything done, so naturally the wall wasn't built.
257	TRUMP	4	1	1	0	0	0	1	0	1	0	But Hillary Clinton wanted the wall.
258	WALLACE	0	0	0	0	0	0	0	0	0	0	Well, let me -- wait, wait, sir, let me...
259	TRUMP	0	0	0	0	0	0	0	0	0	0	We are a country of laws.
260	TRUMP	0	0	0	0	0	0	0	0	0	0	We either have -- and by the way...
